-5.0 , 0 , 0 , 22683
-4.5 , 0 , 0 , 22587
-4.0 , 2 , 1 , 57458
-3.5 , 9 , 1 , 57942
-3.0 , 99 , 42 , 83432
-2.5 , 958 , 391 , 83221
-2.0 , 9436 , 3891 , 93998
-1.5 , 58470 , 28094 , 94626
-1.0 , 179361 , 127146 , 100010
-0.5 , 267793 , 350171 , 100150
0.0 , 238411 , 337359 , 77738
0.5 , 141821 , 112814 , 77512
1.0 , 65182 , 31359 , 42170
1.5 , 25861 , 7060 , 42884
2.0 , 9503 , 1567 , 16274
2.5 , 2687 , 270 , 16385
3.0 , 580 , 37 , 5472
3.5 , 35 , 6 , 5667
4.0 , 1 , 0 , 0
4.5 , 0 , 0 , 0
5.0 , 0 , 0 , 0
